번호,부문,감축사업명,모니터링인자,원단위값,단위
5-9,농축산,(논) 무경운 재배,재배면적(최소경운 1기작); 재배면적(무경운 1기작),0.148; 0.153,tCO2eq/ha; tCO2eq/ha
5-10,농축산,건답 직파 재배,건답 직파 재배 면적,1.77,tCO2eq/ha
5-11,농축산,한우 비육기간 단축,"한우 비육기간 단축 한우 수, 기간",1.21,tCO2eq/두·개월
5-12,농축산,"저메탄, 저단백질사료 보급",사육두수,0.471,tCO2eq/두
5-13,농축산,저탄소 식사 문화 확산 (채식 보급 활성화),저탄소 식사 문화 확산 (일); 저탄소 식사 문화 확산 (식),0.0003; 0.0001,tCO2eq/일; tCO2eq/식
6-1,폐기물,준호기성 매립지,생활폐기물 매립량,0.050,tCO2eq/톤
6-2,폐기물,고형폐기물의 생물학적 처리량 감소,감소처리량(퇴비화(건식)); 감소처리량(퇴비화(습식)); 감소처리량(혐기성소화(건식)); 감소처리량(혐기성소화(습식)),0.439; 0.192; 0.056; 0.028,tCO2eq/톤; tCO2eq/톤; tCO2eq/톤; tCO2eq/톤
6-3,폐기물,소각여열 회수 및 이용,열공급량,0.00003,tCO2eq/MJ
6-4,폐기물,유기성 폐기물 신재생에너지 생산,바이오가스 활용량,0.001,tCO2eq/m3
6-5,폐기물,하수처리장 에너지자립화 사업,발전량,0.0004781,tCO2eq/kWh
6-6,폐기물,하수처리수 재이용,재이용수 공급량(m3),0.0002228,tCO2eq/m3
6-7,폐기물,"아이스팩, 커피찌꺼기 재활용",재활용량(아이스팩); 재활용량(커피찌꺼기),0.002; 0.001,tCO2eq/톤; tCO2eq/톤
6-8,폐기물,폐플라스틱 자원화,폐플라스틱 자원화 무게,1.3,tCO2eq/톤
6-9,폐기물,현수막 업사이클링,재활용된 현수막 개수; 재활용된 현수막 중량,0.00092; 0.00185,tCO2eq/장PE현수막; tCO2eq/kgPE현수막
6-10,폐기물,RFID 종량기 보급,RFID 종량기 보급대수; RFID 종량기 사용 세대,5.31; 0.08,tCO2eq/대; tCO2eq/세대
6-11,폐기물,가정용 음식물류 폐기물 감량기기 보급 지원,음식물류 폐기물 감량기기보급대수,0.121,tCO2eq/대
6-12,폐기물,포장재 폐기물 저감(제로웨이스트 샵(리필스테이션) 이용 확대),비닐 포장재 저감 개수; 플라스틱 포장재 저감 개수; 제로웨이스트 샵 수,0.00009; 0.00008; 0.18,tCO2eq/개; tCO2eq/개; tCO2eq/가게
6-13,폐기물,식품접객업 일회용 비닐봉투 사용 규제,소비되는 비닐봉투 개수; 사업 참여 식품접객업 가게 수,0.000068; 2.08,tCO2eq/개; tCO2eq/가게
6-14,폐기물,일회용 플라스틱 컵 사용 자제,소비되는 음료 개수; 사업 참여 가게 수,0.000048; 2.34,tCO2eq/개; tCO2eq/가게
6-15,폐기물,음식물쓰레기 저감 캠페인,음식물폐기물 감축량(퇴비화); 음식물폐기물 감축량(혐기성소화),0.192; 0.028,kgCO2eq/kg; kgCO2eq/kg
6-16,폐기물,지방세 종이 고지서의 전자 고지서 대체,전자고지서 발행 건수; 전자고지서 발행 가구수,0.00000572; 0.00004648,tCO2eq/건; tCO2eq/가구
6-17,폐기물,대형마트의 전자 영수증 이용,전자영수증 발행 건수; 전자영수증 발행 가게 수,0.00000059; 0.39,tCO2eq/건; tCO2eq/가게
7-1,수소,"수소연료전지(LNG, 메탄, LPG)",사용량(LNG); 사용량(메탄); 사용량(LPG),2.7657; 2.7518; 2.9864,tCO2/t-LNG; tCO2/t-바이오 가스(메탄); tCO2/t-LPG
7-2,수소,이산화탄소 포집 및 수소생산 이용,수소생산용량,8.33,tCO2eq/tH2
8-1,흡수원,조림조성(그루),보급나무수(수령10년); 보급나무수(수령15년); 보급나무수(수령20년); 보급나무수(수령25년); 보급나무수(수령30년),2.4; 4.4; 7.2; 9.4; 10.1,kgCO2eq/그루; kgCO2eq/그루; kgCO2eq/그루; kgCO2eq/그루; kgCO2eq/그루
8-2,흡수원,조림조성(면적),조성면적(임령10년); 조성면적(임령15년); 조성면적(임령20년); 조성면적(임령25년); 조성면적(임령30년),6.9; 9.8; 11.6; 12.1; 10.8,tCO2eq/ha; tCO2eq/ha; tCO2eq/ha; tCO2eq/ha; tCO2eq/ha
8-3,흡수원,[도시숲조성] 가로수 심기,보급나무수(수령10년); 보급나무수(수령15년); 보급나무수(수령20년); 보급나무수(수령25년); 보급나무수(수령30년),3.6; 5.2; 8.4; 9.6; 10.1,kgCO2eq/그루; kgCO2eq/그루; kgCO2eq/그루; kgCO2eq/그루; kgCO2eq/그루
8-4,흡수원,숲 가꾸기(간벌 및 가지치기),숲가꾸기 면적,1.188,tCO2eq/㏊
8-5,흡수원,근린공원(도시공원) 조성,근린공원(도시공원) 조성 면적,0.012,tCO2eq/m²
8-6,흡수원,녹지면적 확충,확충된 녹지 면적,0.006,tCO2eq/m²
8-7,흡수원,생활 속 미니 텃밭을 활용한 도시농업 활성화,고구마 재배 면적; 감자 재배 면적; 파 재배 면적; 고추 재배 면적,0.00056; 0.00115; 0.00004; 0.00063,tCO2eq/m²; tCO2eq/m²; tCO2eq/m²; tCO2eq/m²
8-8,흡수원,습지공원 조성,습지공원 조성 면적,0.039,tCO2eq/m²
8-9,흡수원,"블루카본(갯벌, 염습지 등) 복원",조성면적,0.105,kgCO2eq/m2
8-10,흡수원,바다숲 조성,조성면적,7.97,tCO2eq/㏊
8-11,흡수원,해초(잘피림) 식재,해초류(잘피림) 식재 면적,0.0012,tCO2eq/m²
8-12,흡수원,"미이용 산림바이오매스 목재연료 (목재펠릿, 목재칩) 활용",목재연료 무게; 목재펠릿 무게; 목재칩 무게,1.21; 1.25; 1.02,tCO2eq/톤; tCO2eq/톤; tCO2eq/톤
8-13,흡수원,국내 목제품 이용 및 생활환경 시설 목재 활용 권장,목제 제품의 총 부피; 책상 대수; 테이블 대수,0.63; 0.017; 0.021,tCO2eq/㎥; tCO2eq/대; tCO2eq/대
